 Vendor Name , Department ,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Infosys,Engineering,"$66,570","Infosys delivers global IT services including software development, digital transformation, and managed technology solutions","Optimize - IT services ($67K) - review deliverables, implement KPIs, competitive bidding"
Big Frontier Pty Ltd (Cult Of Monday),Marketing,"$66,131",Big Frontier Pty Ltd (Cult Of Monday) delivers employer branding services helping attract talent through creative campaigns and EVP development,"Optimize - Employer branding ($66K) - ROI metrics, monthly reports, tie fees to hiring outcomes"
Harmonic Group Limited,Professional Services,"$65,418",Harmonic Group Limited delivers management consulting specializing in organizational strategy and business transformation,"Optimize - Consulting ($65K) - clear deliverables, cap duration, knowledge transfer"
Wework Singapore Pte. Ltd.,Facilities,"$64,373","Wework Singapore Pte. Ltd. offers global flexible workspace with coworking memberships, private offices, and enterprise solutions","Optimize - High-value ($64,373) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Cloud Technology Solutions Ltd,Engineering,"$60,661","Cloud Technology Solutions Ltd provides Google Cloud partnership services including migration, optimization, and managed cloud services","Optimize - High-value ($60,661) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
"Navan, Inc",G&A,"$57,929","Navan, Inc manages corporate travel booking, expense reporting, and policy compliance for business trips across all regions","Optimize - High-value ($57,929) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Tmforum,G&A,"$57,560","Tmforum provides telecommunications industry membership with conferences, research, and standards development","Optimize - High-value ($57,560) - negotiate 10-15% discount, benchmark alternatives, usage monitoring"
Linkedin Ireland Limited,G&A,"$55,573","Linkedin Ireland Limited offers professional networking with recruitment tools, job postings, and talent acquisition solutions","Optimize - Recruiting platform ($56K) - audit seat utilization, review job slots, negotiate on volume"
Kimble Applications Ltd,Finance,"$52,825","Kimble Applications Ltd delivers professional services automation with project accounting, resource management, and billing","Optimize - PSA tool ($53K) - review adoption, ensure feature utilization, right-size licenses"
Sage Uk Limited,Finance,"$46,895","Sage Uk Limited provides accounting software with bookkeeping, payroll, and financial management tools","Optimize - Significant spend ($46,895) - review terms, benchmark pricing, performance metrics"
Grant Thornton,Professional Services,"$46,539","Grant Thornton offers audit, tax compliance, and business advisory services as a secondary accounting provider","Optimize - Significant spend ($46,539) - review terms, benchmark pricing, performance metrics"
"SveuäIliå¡Te U Zagrebu, Studentski Centar",G&A,"$44,299","SveuäIliå¡Te U Zagrebu, Studentski Centar provides europe services services for business operations","Optimize - Significant spend ($44,299) - review terms, benchmark pricing, performance metrics"
Ss&C Intralinks Inc,M&A,"$39,966","Ss&C Intralinks Inc provides virtual data room services for M&A transactions, due diligence, and secure document sharing","Optimize - Significant spend ($39,966) - review terms, benchmark pricing, performance metrics"
Veniture D.O.O.,G&A,"$39,342",Veniture D.O.O. provides croatian services services for business operations,"Optimize - Significant spend ($39,342) - review terms, benchmark pricing, performance metrics"
Accutrainee Limited,G&A,"$38,841",Accutrainee Limited provides contractors services for business operations,"Optimize - Significant spend ($38,841) - review terms, benchmark pricing, performance metrics"
Mason Frank International Ltd,G&A,"$38,148",Mason Frank International Ltd provides uk services services for business operations,"Optimize - Significant spend ($38,148) - review terms, benchmark pricing, performance metrics"
"Houlihan Lokey Advisors, Llc",M&A,"$37,461","Houlihan Lokey Advisors, Llc provides M&A advisory and transaction support services","Optimize - Significant spend ($37,461) - review terms, benchmark pricing, performance metrics"
Vector Capital Management Lp,M&A,"$32,427",Vector Capital Management Lp provides M&A advisory and transaction support services,"Optimize - Significant spend ($32,427) - review terms, benchmark pricing, performance metrics"
Hubspot Ireland Limited,Marketing,"$32,187","Hubspot Ireland Limited provides inbound marketing platform with CRM, email marketing, content management, and marketing automation","Optimize - Significant spend ($32,187) - review terms, benchmark pricing, performance metrics"
Nefron - Obrt Za Poslovne Usluge,G&A,"$30,614",Nefron - Obrt Za Poslovne Usluge provides general services services for business operations,"Optimize - Significant spend ($30,614) - review terms, benchmark pricing, performance metrics"
"Planful, Inc.",Finance,"$27,741","Planful, Inc. offers financial planning platform with budgeting, forecasting, and financial reporting capabilities","Optimize - Significant spend ($27,741) - review terms, benchmark pricing, performance metrics"
Cognism Limited,Sales,"$27,013","Cognism Limited provides B2B sales intelligence with GDPR-compliant contact data, buyer intent signals, and prospecting tools","Optimize - Significant spend ($27,013) - review terms, benchmark pricing, performance metrics"
Uberflip,Marketing,"$26,091",Uberflip provides advertising and media services for brand awareness,"Optimize - Significant spend ($26,091) - review terms, benchmark pricing, performance metrics"
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Agram Life Osiguranje D.O.O. provides insurance services for business operations,"Consolidate - Vendor spend $24,952 - evaluate consolidation with similar providers"
Google Ireland Limited,SaaS,"$24,798","Google Ireland Limited provides Google Workspace with cloud email, document collaboration, video conferencing, and team tools","Consolidate - Overlaps M365 - standardize single productivity platform, save $25K"
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,"$24,135",Zuric I Partneri Odvjetnicko Drustvo D.O.O. provides legal services including corporate law and contracts,"Consolidate - Vendor spend $24,135 - evaluate consolidation with similar providers"
Care Health Insurance Company Limited,G&A,"$24,045",Care Health Insurance Company Limited provides insurance services for business operations,"Consolidate - Vendor spend $24,045 - evaluate consolidation with similar providers"
New Star Networks(Nsn),G&A,"$23,887",New Star Networks(Nsn) provides general services services for business operations,"Consolidate - Vendor spend $23,887 - evaluate consolidation with similar providers"
Bupa- Supplier,G&A,"$22,800",Bupa- Supplier provides insurance services for business operations,Consolidate - Multiple Bupa entities - single global relationship for better rates
Shree Info System Solutions Pvt Ltd,Engineering,"$22,275",Shree Info System Solutions Pvt Ltd provides technology services services for business operations,"Consolidate - Vendor spend $22,275 - evaluate consolidation with similar providers"
Technet It Recruitment,G&A,"$21,952",Technet It Recruitment provides recruiting services for business operations,"Consolidate - Multiple recruiters - preferred panel, capped fees (15% max), reduce to 3"
Mightyhive Ltd,Marketing,"$19,042","Mightyhive Ltd provides marketing agency services for branding, creative, and campaign execution","Consolidate - Vendor spend $19,042 - evaluate consolidation with similar providers"
Cedar Recruitment Ltd,G&A,"$18,537",Cedar Recruitment Ltd provides recruiting services for business operations,"Consolidate - Multiple recruiters - preferred panel, capped fees (15% max), reduce to 3"
Eurofast International Ltd-Greec,G&A,"$18,164",Eurofast International Ltd-Greec provides uk services services for business operations,"Consolidate - Vendor spend $18,164 - evaluate consolidation with similar providers"
Hrvatski Telekom D.D.,SaaS,"$18,084",Hrvatski Telekom D.D. provides telecom services for business operations,Consolidate - Regional telecom - include in global consolidation for volume leverage
Sodexo Svc India Private Limited,Facilities,"$17,810",Sodexo Svc India Private Limited provides corporate catering with office meals and event food services,"Consolidate - Category consolidation opportunity ($17,810) - include in category RFP"
Peakon Aps,G&A,"$17,108",Peakon Aps provides contractors services for business operations,"Consolidate - Vendor spend $17,108 - evaluate consolidation with similar providers"
Plus Your Business Ltd,G&A,"$17,074",Plus Your Business Ltd provides uk services services for business operations,"Consolidate - Vendor spend $17,074 - evaluate consolidation with similar providers"
Benefit Systems D.O.O.,G&A,"$16,900",Benefit Systems D.O.O. provides benefits services for business operations,"Consolidate - Vendor spend $16,900 - evaluate consolidation with similar providers"
Smart Group Services D.O.O.,G&A,"$16,438",Smart Group Services D.O.O. provides entertainment services for business operations,"Consolidate - Vendor spend $16,438 - evaluate consolidation with similar providers"
Jones Lang Lasalle (Nsw) Pty Ltd,G&A,"$16,274",Jones Lang Lasalle (Nsw) Pty Ltd provides uk services services for business operations,"Consolidate - Vendor spend $16,274 - evaluate consolidation with similar providers"
"Workato, Inc.",Finance,"$16,101","Workato, Inc. delivers enterprise automation platform for no-code integration and workflow automation","Consolidate - Vendor spend $16,101 - evaluate consolidation with similar providers"
Konzum Plus D.O.O.,G&A,"$15,684",Konzum Plus D.O.O. provides croatian services services for business operations,"Consolidate - Vendor spend $15,684 - evaluate consolidation with similar providers"
Westbrook Advisers,Professional Services,"$15,360",Westbrook Advisers provides management consulting and business advisory,"Consolidate - Vendor spend $15,360 - evaluate consolidation with similar providers"
Work Easy Space Solutions Private Limited,Engineering,"$14,913",Work Easy Space Solutions Private Limited provides technology services services for business operations,"Consolidate - Mid-tier ($14,913) - bundle with similar vendors for volume leverage"
"Taxstudio, Ltd.",Professional Services,"$14,642","Taxstudio, Ltd. provides accounting, audit, and tax advisory services","Consolidate - Mid-tier ($14,642) - bundle with similar vendors for volume leverage"
Pingo D.O.O.,G&A,"$14,508",Pingo D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($14,508) - bundle with similar vendors for volume leverage"
Magazin Raunalni Sistemi D.O.O.,G&A,"$13,870",Magazin Raunalni Sistemi D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($13,870) - bundle with similar vendors for volume leverage"
Tp Prime D.O.O.,G&A,"$13,785",Tp Prime D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($13,785) - bundle with similar vendors for volume leverage"
Granttree Limited,G&A,"$13,659",Granttree Limited provides contractors services for business operations,"Consolidate - Mid-tier ($13,659) - bundle with similar vendors for volume leverage"
Cigna Sg,G&A,"$13,249",Cigna Sg provides insurance services for business operations,"Consolidate - Mid-tier ($13,249) - bundle with similar vendors for volume leverage"
Collards Chartered Accountants,Professional Services,"$12,879","Collards Chartered Accountants provides accounting, audit, and tax advisory services","Consolidate - Mid-tier ($12,879) - bundle with similar vendors for volume leverage"
Bupa Australia,G&A,"$12,463",Bupa Australia provides insurance services for business operations,Consolidate - Multiple Bupa entities - single global relationship for better rates
4I Management Consulting Private Limited,Professional Services,"$12,117",4I Management Consulting Private Limited provides management consulting and business advisory,"Consolidate - Mid-tier ($12,117) - bundle with similar vendors for volume leverage"
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",G&A,"$11,637","Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,.. provides municipal services for business operations","Consolidate - Mid-tier ($11,637) - bundle with similar vendors for volume leverage"
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,G&A,"$11,605",Bijeli Pijesak Obrt Za Poslovno Savjetovanje provides general services services for business operations,"Consolidate - Mid-tier ($11,605) - bundle with similar vendors for volume leverage"
Ramiro D.O.O.,Product,"$11,516",Ramiro D.O.O. provides product management and design tools for roadmapping and prototyping,"Consolidate - Mid-tier ($11,516) - bundle with similar vendors for volume leverage"
Visalogic Limited,G&A,"$11,241",Visalogic Limited provides contractors services for business operations,"Consolidate - Mid-tier ($11,241) - bundle with similar vendors for volume leverage"
Poles Ltd - Hanbury Manor,G&A,"$10,488",Poles Ltd - Hanbury Manor provides uk services services for business operations,"Consolidate - Mid-tier ($10,488) - bundle with similar vendors for volume leverage"
Shoff Darby Companies,G&A,"$10,100",Shoff Darby Companies provides general services services for business operations,"Consolidate - Mid-tier ($10,100) - bundle with similar vendors for volume leverage"
Emerge Development Consultancy Ltd,Professional Services,"$10,046",Emerge Development Consultancy Ltd provides management consulting and business advisory,"Consolidate - Mid-tier ($10,046) - bundle with similar vendors for volume leverage"
Performancepro,G&A,"$10,018",Performancepro provides general services services for business operations,"Consolidate - Mid-tier ($10,018) - bundle with similar vendors for volume leverage"
Microsoft Ireland Operations Limited,SaaS,"$9,822","Microsoft Ireland Operations Limited delivers Microsoft 365 with email, Office applications, Teams collaboration, and enterprise security","Consolidate - Overlaps Google - choose single platform, migrate users"
Catering Muring,Facilities,"$9,603",Catering Muring provides corporate catering with office meals and event food services,Consolidate - Fragmented catering - consolidate with facilities or single caterer
Omonia D.O.O.,G&A,"$9,559",Omonia D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($9,559) - bundle with similar vendors for volume leverage"
Outreach Corporation,Sales,"$9,206",Outreach Corporation provides sales intelligence and CRM tools for pipeline management and customer engagement,"Consolidate - Mid-tier ($9,206) - bundle with similar vendors for volume leverage"
Cbre Limited,G&A,"$8,395",Cbre Limited provides contractors services for business operations,"Consolidate - Mid-tier ($8,395) - bundle with similar vendors for volume leverage"
Studentski Centar - Split,G&A,"$8,269",Studentski Centar - Split provides general services services for business operations,"Consolidate - Mid-tier ($8,269) - bundle with similar vendors for volume leverage"
The Guardian,G&A,"$8,070",The Guardian provides contractors services for business operations,"Consolidate - Mid-tier ($8,070) - bundle with similar vendors for volume leverage"
Intertrust Singapore Corporate Services Pte Ltd - Csc,G&A,"$7,360",Intertrust Singapore Corporate Services Pte Ltd - Csc provides uk services services for business operations,"Consolidate - Mid-tier ($7,360) - bundle with similar vendors for volume leverage"
Goto Technologies Uk Limited,SaaS,"$7,316",Goto Technologies Uk Limited provides video conferencing and remote access software including GoToMeeting and LogMeIn,Terminate - Redundant video conferencing - use Teams/Zoom already deployed
Hrsolution International Ag,Engineering,"$6,987",Hrsolution International Ag provides europe it services for business operations,"Consolidate - Mid-tier ($6,987) - bundle with similar vendors for volume leverage"
Trello,SaaS,"$6,674",Trello provides project management and work tracking tools,"Consolidate - Mid-tier ($6,674) - bundle with similar vendors for volume leverage"
Obrt Sjaj Sunca,G&A,"$6,596",Obrt Sjaj Sunca provides general services services for business operations,"Consolidate - Mid-tier ($6,596) - bundle with similar vendors for volume leverage"
Telefã³Nica Compras Electrã³Nicas S.L.,G&A,"$6,157",Telefã³Nica Compras Electrã³Nicas S.L. provides general services services for business operations,"Consolidate - Mid-tier ($6,157) - bundle with similar vendors for volume leverage"
Allianz Australia Workers' Compensation (Victoria) Limited,G&A,"$6,099",Allianz Australia Workers' Compensation (Victoria) Limited provides insurance services for business operations,"Consolidate - Mid-tier ($6,099) - bundle with similar vendors for volume leverage"
Icici Lombard Gic Ltd,G&A,"$5,972",Icici Lombard Gic Ltd provides insurance services for business operations,"Consolidate - Mid-tier ($5,972) - bundle with similar vendors for volume leverage"
Mosaic Concept D.O.O.,G&A,"$5,731",Mosaic Concept D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($5,731) - bundle with similar vendors for volume leverage"
Limes Plus D.O.O.,G&A,"$5,624",Limes Plus D.O.O. provides croatian services services for business operations,"Consolidate - Mid-tier ($5,624) - bundle with similar vendors for volume leverage"
Mercer Limited,G&A,"$5,444",Mercer Limited provides contractors services for business operations,"Consolidate - Mid-tier ($5,444) - bundle with similar vendors for volume leverage"
Acclime Corporate Services,G&A,"$5,413",Acclime Corporate Services provides general services services for business operations,"Consolidate - Mid-tier ($5,413) - bundle with similar vendors for volume leverage"
Green Commute Initiative,G&A,"$5,402",Green Commute Initiative provides general services services for business operations,"Consolidate - Mid-tier ($5,402) - bundle with similar vendors for volume leverage"
Tattu Manchester Limited,G&A,"$5,366",Tattu Manchester Limited provides uk services services for business operations,"Consolidate - Mid-tier ($5,366) - bundle with similar vendors for volume leverage"
Athlete Service Ltd,G&A,"$5,285",Athlete Service Ltd provides uk services services for business operations,"Consolidate - Mid-tier ($5,285) - bundle with similar vendors for volume leverage"
Amazon Web Services Inc.,Engineering,"$5,153","Amazon Web Services Inc. provides cloud infrastructure including compute, storage, databases, and managed services for application hosting","Consolidate - Mid-tier ($5,153) - bundle with similar vendors for volume leverage"
Telemach Hrvatska D.O.O.,SaaS,"$5,134",Telemach Hrvatska D.O.O. provides telecom services for business operations,Consolidate - Regional telecom - include in global consolidation for volume leverage
"Acclime Usa, Inc",G&A,"$4,995","Acclime Usa, Inc provides us services services for business operations","Consolidate - Small vendor ($4,995) - consolidate with preferred suppliers"
Centar Za Sigurnost D.O.O.,G&A,"$4,991",Centar Za Sigurnost D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($4,991) - consolidate with preferred suppliers"
Profi Bar D.O.O.,Facilities,"$4,917",Profi Bar D.O.O. provides corporate catering with office meals and event food services,"Consolidate - Small vendor ($4,917) - consolidate with preferred suppliers"
Pricewaterhousecoopers Llp,Legal,"$4,879",Pricewaterhousecoopers Llp provides legal services including corporate law and contracts,Consolidate - Fourth accounting firm - consolidate to 2-firm panel max
Pinnacle Partnership Ca,Legal,"$4,836",Pinnacle Partnership Ca provides intellectual property services for patents and trademarks,"Consolidate - Small vendor ($4,836) - consolidate with preferred suppliers"
The Virtual Legal Counsel Ltd,Legal,"$4,800",The Virtual Legal Counsel Ltd provides legal services including corporate law and contracts,"Consolidate - Small vendor ($4,800) - consolidate with preferred suppliers"
Australian Payroll Professionals Pty Ltd,G&A,"$4,399",Australian Payroll Professionals Pty Ltd provides hr services services for business operations,"Consolidate - Small vendor ($4,399) - consolidate with preferred suppliers"
Inter Continental Chennai Mahabalipuram Resort,Facilities,"$4,393",Inter Continental Chennai Mahabalipuram Resort provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Jetbrains S.R.O.,Engineering,"$4,083","Jetbrains S.R.O. provides software development tools for coding, collaboration, and deployment","Consolidate - Small vendor ($4,083) - consolidate with preferred suppliers"
Crowe Horwath Revizija D.O.O.,Professional Services,"$4,062","Crowe Horwath Revizija D.O.O. provides accounting, audit, and tax advisory services",Consolidate - Regional accountant - consolidate with primary for global consistency
Puducherry Backwater Resort Private Limited,Facilities,"$4,056",Puducherry Backwater Resort Private Limited provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Orionw Llc,G&A,"$4,025",Orionw Llc provides contractors services for business operations,"Consolidate - Small vendor ($4,025) - consolidate with preferred suppliers"
Adobe Systems Software,Marketing,"$3,929",Adobe Systems Software provides marketing automation and analytics tools for campaign management,"Consolidate - Small vendor ($3,929) - consolidate with preferred suppliers"
"Common Desk, Llc",Facilities,"$3,842","Common Desk, Llc provides flexible coworking spaces with private offices and meeting facilities","Consolidate - Small vendor ($3,842) - consolidate with preferred suppliers"
Hep Elektra D.O.O.,Facilities,"$3,735",Hep Elektra D.O.O. provides utility services for office operations,"Consolidate - Small vendor ($3,735) - consolidate with preferred suppliers"
Zivi Napitak D.O.O.,G&A,"$3,700",Zivi Napitak D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($3,700) - consolidate with preferred suppliers"
Gym4You D.O.O.,G&A,"$3,692",Gym4You D.O.O. provides wellness services for business operations,"Consolidate - Small vendor ($3,692) - consolidate with preferred suppliers"
Aha! Labs Inc,Product,"$3,689",Aha! Labs Inc provides product management and design tools for roadmapping and prototyping,"Consolidate - Small vendor ($3,689) - consolidate with preferred suppliers"
Apple Retail Uk Ltd,G&A,"$3,548",Apple Retail Uk Ltd provides hardware services for business operations,"Consolidate - Small vendor ($3,548) - consolidate with preferred suppliers"
"Kryterion, Inc.",G&A,"$3,541","Kryterion, Inc. provides us services services for business operations","Consolidate - Small vendor ($3,541) - consolidate with preferred suppliers"
Npm Inc,Engineering,"$3,535","Npm Inc provides software development tools for coding, collaboration, and deployment","Consolidate - Small vendor ($3,535) - consolidate with preferred suppliers"
Pinsent Masons Mpillay Llp,Legal,"$4,078",Pinsent Masons Mpillay Llp provides legal services including corporate law and contracts,"Consolidate - Multiple law firms - preferred panel (2-3), 10% volume discount"
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Calm Achiever(A Unit Of Mohsin Ali Vakil) provides general services services for business operations,"Consolidate - Small vendor ($4,071) - consolidate with preferred suppliers"
Pluxee India Private Limited,G&A,"$3,994",Pluxee India Private Limited provides benefits services for business operations,"Consolidate - Small vendor ($3,994) - consolidate with preferred suppliers"
Oâ€™Donnell Salzano Lawyers,Legal,"$3,955",Oâ€™Donnell Salzano Lawyers provides legal services including corporate law and contracts,"Consolidate - Small vendor ($3,955) - consolidate with preferred suppliers"
Papertrail Inc,Engineering,"$3,900",Papertrail Inc provides application monitoring and observability tools for system health,"Consolidate - Small vendor ($3,900) - consolidate with preferred suppliers"
Sniper Systems And Solutions Private Limited,Engineering,"$3,899",Sniper Systems And Solutions Private Limited provides technology services services for business operations,"Consolidate - Small vendor ($3,899) - consolidate with preferred suppliers"
Trocadero (London) Hotel Ltd,Facilities,"$3,868",Trocadero (London) Hotel Ltd provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Semrush Inc,Marketing,"$3,730",Semrush Inc provides marketing automation and analytics tools for campaign management,"Consolidate - Small vendor ($3,730) - consolidate with preferred suppliers"
Golubica Parking D.O.O.,Facilities,"$3,726",Golubica Parking D.O.O. provides parking facilities for office employees,"Consolidate - Small vendor ($3,726) - consolidate with preferred suppliers"
Vodafone (Australian),SaaS,"$3,672",Vodafone (Australian) provides telecom services for business operations,Consolidate - Regional telecom - include in global consolidation for volume leverage
Ikea Hrvatska D.O.O.,Facilities,"$3,610",Ikea Hrvatska D.O.O. provides office supplies and equipment for workplace needs,"Consolidate - Small vendor ($3,610) - consolidate with preferred suppliers"
Orcola D.O.O.,G&A,"$3,545",Orcola D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($3,545) - consolidate with preferred suppliers"
Info Edge India Limited,G&A,"$3,536",Info Edge India Limited provides job boards services for business operations,"Consolidate - Small vendor ($3,536) - consolidate with preferred suppliers"
Grad Split,G&A,"$3,483",Grad Split provides municipal services for business operations,"Consolidate - Small vendor ($3,483) - consolidate with preferred suppliers"
T-Mobile,SaaS,"$3,357",T-Mobile provides telecom services for business operations,Consolidate - Regional telecom - include in global consolidation for volume leverage
Akton D.O.O.,G&A,"$3,254",Akton D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($3,254) - consolidate with preferred suppliers"
Bureau Veritas Croatia D.O.O.,Professional Services,"$3,200",Bureau Veritas Croatia D.O.O. provides testing and certification services for compliance,"Consolidate - Small vendor ($3,200) - consolidate with preferred suppliers"
Cici Prudential Life Insurance Co. Ltd.,G&A,"$3,195",Cici Prudential Life Insurance Co. Ltd. provides insurance services for business operations,"Consolidate - Small vendor ($3,195) - consolidate with preferred suppliers"
Ncc Services Limited,G&A,"$3,036",Ncc Services Limited provides uk services services for business operations,"Consolidate - Small vendor ($3,036) - consolidate with preferred suppliers"
Smartsheet Inc.,SaaS,"$2,995",Smartsheet Inc. provides project management and work tracking tools,"Consolidate - Small vendor ($2,995) - consolidate with preferred suppliers"
Good Game Global D.O.O.,G&A,"$2,954",Good Game Global D.O.O. provides croatian services services for business operations,"Consolidate - Small vendor ($2,954) - consolidate with preferred suppliers"
Garaå¾A Firule D.O.O.,Facilities,"$2,930",Garaå¾A Firule D.O.O. provides parking facilities for office employees,"Consolidate - Small vendor ($2,930) - consolidate with preferred suppliers"
Crossland,G&A,"$2,924",Crossland provides general services services for business operations,"Consolidate - Small vendor ($2,924) - consolidate with preferred suppliers"
It London,G&A,"$2,838",It London provides contractors services for business operations,"Consolidate - Small vendor ($2,838) - consolidate with preferred suppliers"
Terrapinn Holdings Ltd,Marketing,"$2,838",Terrapinn Holdings Ltd provides B2B event organization for industry conferences and lead generation,"Consolidate - Small vendor ($2,838) - consolidate with preferred suppliers"
Elemental Life Solutions Llp,Legal,"$2,807",Elemental Life Solutions Llp provides legal services including corporate law and contracts,"Consolidate - Small vendor ($2,807) - consolidate with preferred suppliers"
United Flow Ltd (The Goodness Project),G&A,"$2,744",United Flow Ltd (The Goodness Project) provides uk services services for business operations,"Consolidate - Small vendor ($2,744) - consolidate with preferred suppliers"
Mcburneys Charted Accountants,Professional Services,"$2,711","Mcburneys Charted Accountants provides accounting, audit, and tax advisory services","Consolidate - Small vendor ($2,711) - consolidate with preferred suppliers"
Cleverland Winery Resort,Facilities,"$2,663",Cleverland Winery Resort provides business accommodation and meeting facilities for corporate travel,Consolidate - Ad-hoc hotel - include in corporate travel program for negotiated rates
Ag Grid Ltd,Engineering,"$2,653","Ag Grid Ltd provides software development tools for coding, collaboration, and deployment","Consolidate - Small vendor ($2,653) - consolidate with preferred suppliers"
Lusha,Sales,"$2,606",Lusha delivers contact enrichment services providing verified B2B email addresses and direct phone numbers for sales prospecting,"Terminate - Duplicate sales intelligence - consolidate to Cognism for GDPR compliance, save $2.6K"
